time,x,y,theta
1889.966,1.9927163557031946e-06,-2.193291812613296e-07,-0.00020002599739488147
1889.972,9.346585929659312e-05,-9.833322598629124e-06,-0.009377273649274986
1889.976,1.9841378531282317e-06,-1.9909907456039377e-07,-0.00020003404102020284
1889.979,-2.537969834293108e-13,6.572520305780927e-14,-5.255095714140623e-07
1889.984,-2.537969834293108e-13,6.59472476627343e-14,-5.255133497250597e-07
1889.987,1.983738034949667e-06,-1.9825682895380226e-07,-0.0002000342393850829
1889.991,-2.537969834293108e-13,6.572520305780927e-14,-5.255209059029653e-07
1889.995,1.9835374089893776e-06,-1.9783565607944809e-07,-0.00020003433892501477
1889.999,-2.537969834293108e-13,6.572520305780927e-14,-5.255284625249601e-07
1890.003,-2.537969834293108e-13,6.572520305780927e-14,-5.255322408359575e-07
1890.008,-2.537969834293108e-13,6.550315845288424e-14,-5.255360191469549e-07
1890.012,1.9829321600273175e-06,-1.9657234706649263e-07,-0.00020003462599094135
1890.017,-2.540190280342358e-13,6.550315845288424e-14,-5.255435762130389e-07
1890.02,1.9827294812646556e-06,-1.9615157631491797e-07,-0.0002000347239672351
1890.024,-2.540190280342358e-13,6.550315845288424e-14,-5.255511328350337e-07
1890.028,-2.540190280342358e-13,6.550315845288424e-14,-5.255549111460311e-07
1890.032,9.096366921812482e-05,-8.549120287915102e-06,-0.009178004932175465
1890.036,-2.544631172440859e-13,6.306066779870889e-14,-5.255624682121152e-07
1890.04,-2.544631172440859e-13,6.306066779870889e-14,-5.255662465231126e-07
1890.044,1.971946781642586e-06,-1.7556674669627625e-07,-0.00020003646932176267
1890.048,-2.544631172440859e-13,6.306066779870889e-14,-5.255738035891966e-07
1890.053,1.971474447692856e-06,-1.7472794677786396e-07,-0.00020003644851396274
1890.057,-2.546851618490109e-13,6.283862319378386e-14,-5.255813610993698e-07
1890.062,-2.546851618490109e-13,6.283862319378386e-14,-5.255851394103672e-07
1890.066,-2.546851618490109e-13,6.283862319378386e-14,-5.255889177213646e-07
