time,x,y,theta
168.046,0.0,2.220446049250313e-16,7.991955985886534e-09
168.05,0.0,2.220446049250313e-16,7.991957762243374e-09
168.054,0.0,2.220446049250313e-16,7.991959982689423e-09
168.059,0.0,2.220446049250313e-16,7.991961759046262e-09
168.063,0.0,2.220446049250313e-16,7.991963535403102e-09
168.067,0.0,2.220446049250313e-16,7.99196575584915e-09
168.071,0.0,2.220446049250313e-16,7.99196708811678e-09
168.075,0.0,2.220446049250313e-16,7.99196930856283e-09
168.078,-5.235438012007876e-07,-2.4402319009908524e-07,-1.773284945993936e-06
168.082,0.0,2.220446049250313e-16,7.991973305365718e-09
168.085,0.0,2.220446049250313e-16,7.991975081722558e-09
168.088,1.658375277546753e-06,-3.5603298997877175e-07,-1.6037397229329287e-05
168.092,0.0,2.220446049250313e-16,7.991979078525446e-09
168.096,0.0,2.220446049250313e-16,7.991980854882286e-09
168.1,1.913986136248269e-07,9.074270868048018e-08,-3.280110147940718e-07
168.104,0.0,2.220446049250313e-16,7.991984851685174e-09
168.108,0.0,2.220446049250313e-16,7.991986628042014e-09
168.112,0.0,2.220446049250313e-16,7.991988404398853e-09
168.116,0.0,2.220446049250313e-16,7.991990180755693e-09
168.12,-1.451243791805723e-09,1.3191749914653883e-09,1.748075728613685e-08
168.124,-6.984088862793669e-10,-9.440426218532139e-11,7.29958138379061e-09
168.127,0.0,2.220446049250313e-16,7.99199595391542e-09
168.133,0.0,2.220446049250313e-16,7.99199817436147e-09
168.138,0.0,2.220446049250313e-16,7.99199995071831e-09
168.143,0.0,2.220446049250313e-16,7.992001727075149e-09
168.147,2.603189006578077e-07,1.6585338302732566e-07,-2.8406467760255794e-06
168.15,9.252162214146153e-08,2.052655601048059e-07,-2.4376150511429273e-06
168.154,0.0,2.220446049250313e-16,7.992007500234877e-09
168.157,0.0,2.220446049250313e-16,7.992009276591716e-09
168.161,6.072071219165309e-07,3.2794238080668947e-07,-1.2461395630936067e-06
168.165,0.0,2.220446049250313e-16,7.992013273394605e-09
168.169,0.0,2.220446049250313e-16,7.992015049751444e-09
168.172,3.445574570104526e-07,2.914537640119619e-07,-2.5663040137402504e-06
168.176,0.0,2.220446049250313e-16,7.992019046554333e-09
168.18,0.0,4.440892098500626e-16,7.992020822911172e-09
168.184,4.720108315314775e-07,3.541817730212671e-07,-2.6198601066340643e-06
168.188,1.508136848737962e-07,4.230772732150001e-08,-6.743956028287812e-06
168.192,0.0,2.220446049250313e-16,7.9920265960709e-09
168.197,0.0,2.220446049250313e-16,7.99202881651695e-09
168.201,6.709313598030064e-07,4.778599980159726e-07,-4.637490984116255e-06
168.205,3.854649064383153e-07,1.1570714697484163e-07,-9.451298598417424e-06
168.211,4.367640833446984e-07,4.1179683596404004e-07,-5.929884305810873e-06
168.214,0.0,2.220446049250313e-16,7.992036366033517e-09
168.218,0.0,2.220446049250313e-16,7.992038142390356e-09
168.221,0.0,2.220446049250313e-16,7.992039918747196e-09
168.225,0.0,2.220446049250313e-16,7.992041695104035e-09
168.23,0.0,4.440892098500626e-16,7.992043915550084e-09
168.234,0.0,4.440892098500626e-16,7.992045691906924e-09
168.239,0.0,2.220446049250313e-16,7.992047912352973e-09
168.243,0.0,2.220446049250313e-16,7.992049688709812e-09
168.248,0.0,2.220446049250313e-16,7.992051465066652e-09
168.251,1.0771226355510422e-05,6.2609692512705095e-06,-0.0001962499354064562
168.255,5.124167079539887e-07,1.9750958646369554e-07,-1.5457652935424449e-09
168.259,0.0,2.220446049250313e-16,7.99205723822638e-09
168.264,0.0,2.220446049250313e-16,7.99205857049401e-09
168.269,0.0,2.220446049250313e-16,7.992060790940059e-09
168.272,0.0,2.220446049250313e-16,7.992062567296898e-09
168.276,0.0,2.220446049250313e-16,7.992064787742947e-09
168.281,0.0,2.220446049250313e-16,7.992066564099787e-09
168.285,-1.861708824879571e-07,-1.4218104493757266e-07,-5.82258981118855e-06
168.287,0.0,2.220446049250313e-16,7.992070560902675e-09
168.291,0.0,2.220446049250313e-16,7.992071893170305e-09
168.296,0.0,2.220446049250313e-16,7.992074113616354e-09
168.3,0.0,2.220446049250313e-16,7.992076334062403e-09
168.303,2.844401518764528e-07,2.3787969194444258e-07,-2.0555111026610007e-06
168.307,0.0,4.440892098500626e-16,7.992079886776082e-09
168.312,0.0,2.220446049250313e-16,7.992081663132922e-09
168.315,4.6504374484612754e-07,1.83574717649293e-07,2.454692453746077e-07
168.32,5.535316160987236e-08,1.064157850727554e-08,-2.480684476502404e-06
168.324,2.1460294874486863e-07,1.4420682514781902e-07,-1.0100629523890348e-06
168.328,0.0,2.220446049250313e-16,7.992089656738699e-09
168.332,5.8895243570944444e-08,1.0129137839598457e-07,-1.1263442392106526e-06
168.336,0.0,2.220446049250313e-16,7.992093209452378e-09
168.341,0.0,2.220446049250313e-16,7.992095429898427e-09
168.345,4.1044093057607256e-07,5.03716510280583e-07,5.1289210212246417e-08
168.347,0.0,2.220446049250313e-16,7.992098982612106e-09
168.351,0.0,2.220446049250313e-16,7.992100758968945e-09
168.354,0.0,2.220446049250313e-16,7.992102979414994e-09
168.361,0.0,2.220446049250313e-16,7.992104755771834e-09
168.365,0.0,2.220446049250313e-16,7.992106532128673e-09
168.371,0.0,2.220446049250313e-16,7.992108308485513e-09
168.374,1.0218218219115727e-05,5.954061902180285e-06,5.26437208048236e-05
168.378,0.0,2.220446049250313e-16,7.992112305288401e-09
168.382,0.0,2.220446049250313e-16,7.99211408164524e-09
168.388,0.0,2.220446049250313e-16,7.99211630209129e-09
168.392,1.1540284843514215e-05,6.714442009947419e-06,6.111567779631955e-05
168.396,0.0,2.220446049250313e-16,7.992119854804969e-09
168.401,0.0,2.220446049250313e-16,7.992121631161808e-09
168.404,1.24300627066809e-05,7.203707641512125e-06,6.67996121155312e-05
168.408,0.0,2.220446049250313e-16,7.992125627964697e-09
168.412,0.0,2.220446049250313e-16,7.992127404321536e-09
168.415,1.3316348917769005e-05,7.696085497554961e-06,7.252155906378732e-05
168.419,0.0,2.220446049250313e-16,7.992131401124425e-09
168.424,0.0,2.220446049250313e-16,7.992133177481264e-09
168.427,0.0,2.220446049250313e-16,7.992134953838104e-09
168.433,0.0,2.220446049250313e-16,7.992137174284153e-09
168.438,0.0,2.220446049250313e-16,7.992138950640992e-09
168.441,0.0,2.220446049250313e-16,7.992140726997832e-09
168.446,3.599449674918098e-05,2.0339769023269838e-05,0.0002477579807798058
168.449,0.0,2.220446049250313e-16,7.99214472380072e-09
168.453,0.0,2.220446049250313e-16,7.99214650015756e-09
168.457,0.0,2.220446049250313e-16,7.9921482765144e-09
168.46,3.722257446181487e-05,2.099886887640956e-05,0.0002593901652172548
168.465,0.0,2.220446049250313e-16,7.992152273317288e-09
168.469,0.0,2.220446049250313e-16,7.992154049674127e-09
168.473,3.8037317742212196e-05,2.1433577470419962e-05,0.0002672682210853594
168.476,0.0,4.440892098500626e-16,7.992158046477016e-09
168.481,0.0,4.440892098500626e-16,7.992159822833855e-09
168.484,0.0022119102807249824,0.001222401144041374,0.01584497471003221
168.488,0.0,2.220446049250313e-16,7.992163819636744e-09
168.492,0.0,2.220446049250313e-16,7.992165151904373e-09
168.496,4.503045574977271e-05,2.4405237515789935e-05,0.0003089832684066707
168.499,0.0,2.220446049250313e-16,7.992169148707262e-09
168.503,0.0,4.440892098500626e-16,7.992171369153311e-09
168.507,4.515612048949791e-05,2.4436998879995286e-05,0.0003081692429094396
168.512,4.5221150948071553e-05,2.4454149842867423e-05,0.00030774571908942505
168.517,0.0,2.220446049250313e-16,7.99217669822383e-09
168.521,0.0,2.220446049250313e-16,7.992178918669879e-09
168.525,4.535575212583076e-05,2.4490971178181553e-05,0.0003068658352489706
168.531,0.0,4.440892098500626e-16,7.992182915472767e-09
168.536,0.0,2.220446049250313e-16,7.992184691829607e-09
